"name","dlc","health","hunger","sanity","perish_time","cook_time","priority","requirements","filler_restrictions"
"Bacon and Eggs","","+20","+75","+5","20","40","10","Meats×1.25,Eggs×2.0","No Vegetables"
"Barnacle Linguine","Don't Starve Together","10","75","20","6d","40s","25","Barnacle×2,Vegetables×2.0",""
"Barnacle Nigiri","Don't Starve Together","40","37.5","5","10d","10s","30","Barnacle×1,Kelp Frond×1,Eggs×1",""
"Barnacle Pita","Don't Starve Together","20","37.5","5","15d","40s","25","Barnacle×1,Vegetables×0.5",""
"Beefy Greens","","+40","+75","+5","6","40","25","Leafy Meat×1,Vegetables×3.0",""
"Caviar","Shipwrecked","+3","+12.5","+33","10","40","20","Roe×1,Vegetables×1.0",""
"Caviar","Shipwrecked","+3","+12.5","+33","10","40","20","Roe×3,Vegetables×1.0",""
"Feijoada","Hamlet","+20","+75","+15","8","70","30","Bean Bug×3,Meats×0.25",""
"Fish Cordon Bleu","Don't Starve Together","+20","+37.5","-10","8","40","30","Frog Leg×2,Fishes×1.0","No Inedibles,Cooked in Portable Crock Pot"
"Froggle Bunwich","","+20","+37.5","+5","15","40","1","Frog Leg×1,Vegetables×0.5",""
"Guacamole","Reign of Giants","+20","+37.5","0","10","10","10","Cactus Flesh×1,Moleworm×1","No Fruits"
"Guacamole","Reign of Giants","+20","+37.5","0","10","10","10","Ripe Stone Fruit×1,Moleworm×1","No Fruits"
"Honey Ham","","+30","+75","+5","15","40","2","Meats×1.75,Honey×1","No Inedibles"
"Honey Nuggets","","+20","+37.5","+5","15","40","2","Meats×0.25,Honey×1","No Inedibles"
"Jelly Salad","","0","+37.5","+50","6","40","50","Leafy Meat×2,Sweeteners×2.0",""
"Kabobs","","+3","+37.5","+5","15","40","5","Meats×0.25,Twig×1","No Inedibles"
"Leafy Meatloaf","","+8","+37.5","+5","20","40","25","Leafy Meat×2",""
"Meatballs","","+3","+62.5","+5","10","15","-1","Meats×0.25","No Inedibles"
"Meaty Stew","","+12","+150","+5","10","15","0","Meats×3.0","No Inedibles"
"Milkmade Hat","","0","187.5 in 4 min","-5.3 in 4 min","3d","10s","10","Naked Nostrils×1,Kelp Frond×1,Dairy×1",""
"Monster Lasagna","","-20","+37.5","-20","6","10","10","Monster Foods×2.0","No Inedibles"
"Pierogi","","+40","+37.5","+5","20","20","5","Eggs×1.0,Meats×0.25,Vegetables×0.5","No Inedibles"
"Shark Fin Soup","Shipwrecked","+40","+12.5","-10","10","10","20","Shark Fin×1",""
"Snake Bone Soup","Hamlet","+40","+25","+10","10","20","20","Snake Bone×2,Meats×2.0",""
"Spicy Chili","Reign of Giants","+20","+37.5","0","10","10","10","Vegetables×1.5,Meats×1.5",""
"Steamed Ham Sandwich","Hamlet","+40","+37.5","+15","6","40","5","Meat×1,Foliage×1,Vegetables×1.0",""
"Steamed Ham Sandwich","Hamlet","+40","+37.5","+15","6","40","5","Cooked Meat×1,Foliage×1,Vegetables×1.0",""
"Stuffed Fish Heads","Don't Starve Together","20","75","0","3d","40s","25","Barnacle×1,Fishes×1.0",""
"Surf 'n' Turf","Shipwrecked, Don't Starve Together","+60","+37.5","+33","10","10","30","Meats×2.5,Fishes×1.5","No Ice"
"Tropical Bouillabaisse","Shipwrecked","+20","+37.5","+15","10","40","35","Neon Quattro×1,Pierrot Fish×1,Purple Grouper×1,Vegetables×1.0",""
"Turkey Dinner","","+20","+75","+5","6","60","10","Drumstick×2,Meats×0.25,Vegetables×0.5",""
"Turkey Dinner","","+20","+75","+5","6","60","10","Drumstick×2,Meats×0.25,Fruits×0.5",""
"Veggie Burger","Don't Starve Together","+30","+37.5","+33","6","40","25","Leafy Meat×1,Onion×1,Vegetables×2",""
