"name","dlc","health","hunger","sanity","perish_time","cook_time","priority","requirements","filler_restrictions"
"Caviar","Shipwrecked","+3","+12.5","+33","10","40","20","Roe×1,Vegetables×1.0",""
"Caviar","Shipwrecked","+3","+12.5","+33","10","40","20","Cooked Roe×3,Vegetables×1.0",""
"Creamy Potato Purée","Don't Starve Together","+20","+37.5","+33","15","20","20","Potato×2,Garlic×1","No Meats,No Inedibles"
"Moqueca","Don't Starve Together","+60","+112.5","+33","8","40","30","Toma Root×1,Onion×1,Fishes×0.25","No Inedibles,Cooked in Portable Crock Pot"
"Salsa Fresca","Don't Starve Together","+3","+25","+33","15","10","20","Toma Root×1,Onion×1","No Meats Inedibles"
"(Spicy) Vegetable Stinger","","+3","+25","+33","15","10","15","Asparagus×1,Vegetables×1.5,Ice×1",""
"(Spicy) Vegetable Stinger","Hamlet","+3","+25","+33","15","10","15","Radish×1,Vegetables×1.5,Ice×1",""
"(Spicy) Vegetable Stinger","Don't Starve Together","+3","+25","+33","15","10","15","Toma Root×1,Vegetables×1.5,Ice×1",""
"Veggie Burger","Don't Starve Together","+30","+37.5","+33","6","40","25","Leafy Meat×1,Onion×1,Vegetables×1.0",""
"Barnacle Linguine","Don't Starve Together","+10","+75","+20","6","40","25","Barnacle×2,Vegetables×2.0",""
"Fancy Spiralled Tubers","Don't Starve Together","+3","+37.5","+15","10","15","10","Potato×1,Twig×1","No Meats,Maximum Inedibles×1,Maximum Monster Food×1"
"Mussel Bouillabaise","Shipwrecked","+20","+37.5","+15","10","20","30","Mussel×2,Vegetables×2.0","Cooked in Portable Crock Pot"
"Puffed Potato Soufflé","Don't Starve Together","+20","+37.5","+15","10","40","30","Potato×2,Eggs×1","No Meats,No Inedibles,Cooked in Portable Crock Pot"
"Pumpkin Cookie","","0","+37.5","+15","10","40","10","Pumpkin×1,Sweeteners×2",""
"Sweet Potato Souffle","Shipwrecked","+20","+37.5","+15","10","20","30","Sweet Potato×2,Eggs×2.0","Cooked in Portable Crock Pot"
"Tropical Bouillabaisse","Shipwrecked","+20","+37.5","+15","10","40","35","Purple Grouper×1,Pierrot Fish×1,Neon Quattro×1,Vegetables×1",""
"Asparagazpacho","Don't Starve Together","+3","+25","+10","15","10","30","Asparagus×2,Ice×2","Cooked in Portable Crock Pot"
"California Roll","Shipwrecked","+20","+37.5","+10","10","10","20","Seaweed×2,Fishes×1.0",""
"California Roll","Don't Starve Together","+20","+37.5","+10","10","10","20","Kelp Frond×2,Fishes×1.0",""
"Hot Dragon Chili Salad","Don't Starve Together","-3","+25","+10","15","15","30","Dragon Fruit×1,Pepper×1","No Eggs,No Inedibles,No Meats,Cooked in Portable Crock Pot"
"Monster Tartare","Shipwrecked","+3","+37.5","+10","10","20","30","Monster Foods×2.0,Eggs×1.0,Vegetables×0.5","Cooked in Portable Crock Pot"
"Mushy Cake","","0","+25","+10","15","20","55","Moon Shroom×1,Red Cap×1,Blue Cap×1,Green Cap×1",""
"Asparagus Soup","Don't Starve Together","+20","+18.75","+5","15","10","10","Asparagus×1,Vegetables×1.5","No Meats,No Inedibles"
"Asparagus Soup","Hamlet","+20","+18.75","+5","15","10","10","Asparagus×1,Vegetables×0.5",""
"Barnacle Nigiri","Don't Starve Together","+40","+37.5","+5","10","10","30","Barnacle×1,Kelp Frond×1,Eggs×1",""
"Barnacle Pita","Don't Starve Together","+20","+37.5","+5","15","40","25","Barnacle×1,Vegetables×1.0",""
"Beefy Greens","Don't Starve Together","+40","+75","+5","6","40","25","Leafy Meat×1,Vegetables×3.0",""
"Bone Bouillon","Don't Starve Together","+32","+150","+5","10","40","30","Bone Shard×2,Onion×1","No Inedibles,Cooked in Portable Crock Pot"
"Butter Muffin","","+20","+37.5","+5","15","40","1","Butterfly Wing×1,Vegetables×0.5","No Meats"
"Butter Muffin","Don't Starve Together","+20","+37.5","+5","15","40","1","Moon Moth Wing×1,Vegetables×0.5","No Meats"
"Butter Muffin","Reign of Giants","+20","+37.5","+5","15","40","1","Moon Moth Wing×1,Vegetables×0.5,Ice×2",""
"Fish Tacos","","+20","+37.5","+5","6","10","10","Fishes×0.25,Corn×1",""
"Flower Salad","Reign of Giants","+40","+12.5","+5","6","10","10","Cactus Flower×1,Vegetables×2.0","No Fruits,No Meats,No Eggs,No Sweeteners,No Inedibles"
"Froggle Bunwich","","+20","+37.5","+5","15","40","1","Frog Leg×1,Vegetables×0.5",""
"Grim Galette","Don't Starve Together","+1","+25","+5","10","40","30","Nightmare Fuel×2,Potato×1,Onion×1","Cooked in Portable Crock Pot"
"Mandrake Soup","","+100","+150","+5","6","60","10","Mandrake×1",""
"Pierogi","","+40","+37.5","+5","20","20","5","Eggs×1.0,Meats×0.25,Vegetables×0.5","No Inedibles"
"Ratatouille","","+3","+25","+5","15","20","0","Vegetables×0.5","No Meats,No Inedibles"
"Stuffed Eggplant","","+3","+37.5","+5","15","40","1","Eggplant×1,Vegetables×0.5",""
"Turkey Dinner","","+20","+75","+5","6","60","10","Drumstick×2,Meats×0.25,Vegetables×0.5",""
"Turkey Dinner","","+20","+75","+5","6","60","10","Drumstick×2,Meats×0.25,Fruits×0.5",""
"Unagi","","+20","+18.75","+5","10","10","20","Eel×1,Lichen×1",""
"Guacamole","","+20","+37.5","0","10","10","10","Cactus Flesh×1,Moleworm×1","No Fruits"
"Guacamole","Don't Starve Together","+20","+37.5","0","10","10","10","Ripe Stone Fruit×1,Moleworm×1","No Fruits"
"Powdercake","","-3","0","0","18750","10","10","Corn×1,Honey×1,Twig×1",""
"Spicy Chili","Reign of Giants","+20","+37.5","0","10","10","10","Vegetables×1.5,Meats×1.5",""
"Stuffed Pepper Poppers","Don't Starve Together","+30","+25","-5","15","40","20","Pepper×1,Meats×0.25","No Inedibles,Maximum Meats×1.5 total"
