"name","health","hunger","sanity","perish_time","food_value","stacking"
"Batilisk Wing","3","12.5","-10","6","0.5","20"
"Cooked Batilisk Wing","8","18.75","0","10","0.5","20"
"Small Jerky","8","12.5","10","20","0.5","40"
"Drumstick","0","12.5","-10","6","","40"
"Cooked Drumstick","1","12.5","0","10","","40"
"Eel","3","9.375","0","6","1.0","40"
"Cooked Eel","3","9.375","0","6","1.0","40"
"Live Eel","3","9.375","0","3","1.0","1"
"Fish","1","12.5","0","3","1.0","40"
"Cooked Fish","1","12.5","0","6","1.0","40"
"Freshwater Fish","1","12.5","0","3","0.5","1"
"Frog Legs","0","12.5","-10","6","0.5","40"
"Cooked Frog Legs","1","12.5","0","10","0.5","40"
"Koalefant Trunk","30","37.5","0","6","","20"
"Winter Koalefant Trunk","30","37.5","0","6","","20"
"Koalefant Trunk Steak","40","75","0","15","","20"
"Leafy Meat","0","12.5","-10","6","1.0","20"
"Cooked Leafy Meat","1","18.75","0","10","1.0","20"
"Meat","1","25","-10","6","1.0","20"
"Cooked Meat","3","25","0","10","1.0","20"
"Monster Meat","-20","18.75","-15","6","1.0","20"
"Cooked Monster Meat","-3","18.75","-10","15","1.0","20"
"Morsel","0","12.5","-10","6","0.5","40"
"Cooked Morsel","1","12.5","0","10","0.5","40"
"Guardian’s Horn","60","75","-15","9999999","","1"
"Deerclops Eyeball","60","75","-15","9999999","","1"
"Dead Dogfish","1","25","0","6","1.0","40"
"Dead Swordfish","1","25","0","6","","40"
"Dragoon Heart","11","25","-10","10","","10"
"Eye of the Tiger Shark","60","75","-15","9999999","","10"
"Neon Quattro","1","12.5","0","10","1.0","40"
"Cooked Neon Quattro","3","12.5","0","6","1.0","40"
"Pierrot Fish","1","12.5","0","10","1.0","40"
"Cooked Pierrot Fish","3","12.5","0","6","1.0","40"
"Purple Grouper","1","12.5","0","10","1.0","40"
"Cooked Purple Grouper","3","12.5","0","6","1.0","40"
"Raw Fish","1","25","0","3","1.0","40"
"Fish Meat","1","25","0","3","1.0","40"
"Fish Steak","20","25","0","6","1.0","40"
"Roe","1","4.6875","0","3","1.0","40"
"Cooked Roe","0","4.6875","0","10","1.0","40"
"Shark Fin","20","25","-15","6","1.0","10"
"Tropical Fish","1","12.5","0","3","1.0","40"
"Flytrap Stalk","0","12.5","-10","6","","20"
"Poison Dartfrog Legs","-3","12.5","-10","6","","40"
"Cooked Poison Dartfrog Legs","-1","12.5","0","10","","40"
"Fish Morsel","1","12.5","0","3","0.5","40"
"Cooked Fish Morsel","1","12.5","0","6","0.5","40"
"Barnacles","0","12.5","-5","6","0.25","20"
"Cooked Barnacles","1","12.5","0","15","0.25","20"
"Naked Nostrils","3","12.5","-10","6","0.5","40"
"Charred Nostrils","8","18.5","0","10","0.5","40"
"Jerky","20","25","15","20","1.0","20"
"Monster Jerky","-3","18.75","-5","20","1.0","20"
