"name","sources","cooked","dried","dlc","value","crockpot"
"Carrot","Carrot","Roasted Carrot","N/A","","1.0","true"
"Corn","Corn","Popcorn","N/A","","1.0","true"
"Eggplant","Eggplant","Braised Eggplant","N/A","","1.0","true"
"Pumpkin","Pumpkin","Hot Pumpkin","N/A","","1.0","true"
"Blue Cap","Blue Cap","Cooked Blue Cap","N/A","","0.5","true"
"Green Cap","Green Cap","Cooked Green Cap","N/A","","0.5","true"
"Red Cap","Red Cap","Cooked Red Cap","N/A","","0.5","true"
"Mandrake","Mandrake","Cooked Mandrake","N/A","","1.0","true"
"Petals","Petals","N/A","N/A","","0.0","false"
"Dark Petals","Dark Petals","N/A","N/A","","0.0","false"
"Foliage","Foliage","N/A","N/A","","0.0","false"
"Glow Berry","Glow Berry","N/A","N/A","","0.0","false"
"Lichen","Lichen","N/A","N/A","","1.0","true"
"Cactus Flesh","Cactus Flesh","Cooked Cactus Flesh","N/A","Reign of Giants","1.0","true"
"Cactus Flower","Cactus Flower","N/A","N/A","Reign of Giants","0.5","true"
"Seaweed","Seaweed","Roasted Seaweed","Dried Seaweed","Shipwrecked","1.0","true"
"Sweet Potato","Sweet Potato","Cooked Sweet Potato","N/A","Shipwrecked","1.0","true"
"Aloe","Aloe","Cooked Aloe","N/A","Hamlet","1.0","true"
"Asparagus","Asparagus","Cooked Asparagus","N/A","Hamlet","1.0","true"
"Radish","Radish","Cooked Radish","N/A","Hamlet","1.0","true"
"Succulent","Succulent","N/A","N/A","Don't Starve Together","0.0","false"
"Kelp Fronds","Kelp Fronds","Cooked Kelp Fronds","Dried Kelp Fronds","Don't Starve Together","0.5","true"
"Ripe Stone Fruit","Ripe Stone Fruit","Cooked Stone Fruit","N/A","Don't Starve Together","1.0","true"
"Garlic","Garlic","Roasted Garlic","N/A","Don't Starve Together","1.0","true"
"Onion","Onion","Roasted Onion","N/A","Don't Starve Together","1.0","true"
"Pepper","Pepper","Roasted Pepper","N/A","Don't Starve Together","1.0","true"
"Potato","Potato","Roasted Potato","N/A","Don't Starve Together","1.0","true"
"Toma Root","Toma Root","Roasted Toma Root","N/A","Don't Starve Together","1.0","true"
"Popperfish","Popperfish","Popcorn","N/A","Don't Starve Together","1.0","true"
"Corn Cod","Corn Cod","Popcorn","N/A","Don't Starve Together","1.0","true"
"Moon Shroom","Moon Shroom","Cooked Moon Shroom","N/A","Don't Starve Together","0.5","true"
